packer,#,precision,recall,f-measure
32bitASPack,370,1.0,1.0,1.0
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.9604221635883905,0.9604221635883905,0.9604221635883905
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8440366972477065,0.8288288288288288,0.8363636363636363
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9794117647058823,0.9881305637982196,0.983751846381093
32bitVMProtect,185,0.8808290155440415,0.918918918918919,0.8994708994708995
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.9019138755980861,0.9766839378238342,0.9378109452736318
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.8705035971223022,0.44814814814814813,0.5916870415647922
64bitObsidium,395,1.0,1.0,1.0
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.7698924731182796,0.9862258953168044,0.8647342995169082
64bitVMProtect,24,0.0625,0.041666666666666664,0.05
