packer,#,precision,recall,f-measure
32bitASPack,370,0.9919571045576407,1.0,0.9959623149394348
32bitASProtect,367,1.0,1.0,1.0
32bitEnigmaProtector,166,1.0,1.0,1.0
32bitmpress,379,0.978494623655914,0.9604221635883905,0.9693741677762983
32bitThemida,497,1.0,1.0,1.0
32bitOriginal,111,0.8378378378378378,0.8378378378378378,0.8378378378378378
32bitObsidium,358,1.0,1.0,1.0
32bitUPX,337,0.9540229885057471,0.9851632047477745,0.9693430656934308
32bitVMProtect,185,0.8975609756097561,0.9945945945945946,0.9435897435897438
64bitEnigmaProtector,196,1.0,1.0,1.0
64bitmpress,386,0.8793503480278422,0.9818652849740933,0.9277845777233783
64bitThemida,1065,1.0,0.9924882629107982,0.9962299717247879
64bitOriginal,270,0.900709219858156,0.4703703703703704,0.6180048661800487
64bitObsidium,395,1.0,0.9974683544303797,0.9987325728770595
64bitPESpin,396,0.985,0.9949494949494949,0.9899497487437187
64bitUPX,363,0.8067415730337079,0.9889807162534435,0.8886138613861386
64bitVMProtect,24,0.75,0.125,0.21428571428571427
